,name,countyfips,state,population,state_full,Clusters
0,Franklin,1059,AL,31362,Alabama,Republicans
1,Adair,19001,IA,7152,Iowa,Republicans
2,Hancock,19081,IA,10630,Iowa,Republicans
3,Franklin,19069,IA,10070,Iowa,Swing_County
4,McDonough,17109,IL,29682,Illinois,Swing_County
5,Pulaski,18131,IN,12353,Indiana,Republicans
6,Boone,19015,IA,26234,Iowa,Swing_County
7,Union,19175,IA,12241,Iowa,Swing_County
8,O'Brien,19141,IA,13753,Iowa,Republicans
9,Buena Vista,19021,IA,19620,Iowa,Republicans
10,Montgomery,19137,IA,9917,Iowa,Republicans
11,Humboldt,19091,IA,9558,Iowa,Republicans
12,Davis,19051,IA,9000,Iowa,Republicans
13,Lamar,1075,AL,13805,Alabama,Republicans
14,Marion,1093,AL,29709,Alabama,Republicans
15,Bleckley,13023,GA,12873,Georgia,Republicans
16,Talladega,1121,AL,79978,Alabama,Republicans
17,Tallapoosa,1123,AL,40367,Alabama,Republicans
18,Winston,1133,AL,23629,Alabama,Republicans
19,Colbert,1033,AL,55241,Alabama,Republicans
20,Dale,1045,AL,49172,Alabama,Republicans
21,Limestone,1083,AL,98915,Alabama,Republicans
22,Bullock,1011,AL,10101,Alabama,Democrats
23,Coffee,1031,AL,52342,Alabama,Republicans
24,Butler,1013,AL,19448,Alabama,Republicans
25,Calhoun,1015,AL,113605,Alabama,Republicans
26,Chambers,1017,AL,33254,Alabama,Republicans
27,Conejos,8021,CO,8205,Colorado,Swing_County
28,Cherokee,1019,AL,26196,Alabama,Republicans
29,Chilton,1021,AL,44428,Alabama,Republicans
30,Choctaw,1023,AL,12589,Alabama,Republicans
31,Adams,18001,IN,35777,Indiana,Republicans
32,Clarke,1025,AL,23622,Alabama,Republicans
33,Clay,1027,AL,13235,Alabama,Republicans
34,Cleburne,1029,AL,14910,Alabama,Republicans
35,Conecuh,1035,AL,12067,Alabama,Swing_County
36,Coosa,1037,AL,10663,Alabama,Republicans
37,Covington,1039,AL,37049,Alabama,Republicans
38,Crenshaw,1041,AL,13772,Alabama,Republicans
39,Cullman,1043,AL,83768,Alabama,Republicans
40,Dallas,1047,AL,37196,Alabama,Democrats
41,DeKalb,1049,AL,71513,Alabama,Republicans
